Date,Open,High,Low,Close,Volume
2016-03-13,9764.08,9995.84,9498.15,9831.13,571258335
2016-03-20,9948.21,10055.29,9753.04,9950.8,586839238
2016-03-27,9893.26,10112.17,9762.57,9851.35,317244463
2016-04-03,9900.88,10097.7,9675.5,9794.64,339217866
2016-04-10,9789.77,9907.05,9484.75,9622.26,421323686
2016-04-17,9595.56,10098.44,9524.66,10051.57,425082611
2016-04-24,9933.7,10474.38,9920.9,10373.49,449290614
2016-05-01,10379.16,10399.3,10038.97,10038.97,459669813
2016-05-08,10091.17,10153.9,9737,9869.95,455629119
2016-05-15,9929.19,10106.93,9767.94,9952.9,448721353
2016-05-22,10016.79,10080.31,9773.72,9916.02,347079533
2016-05-29,9891.38,10298.76,9773.8,10286.31,398929242
2016-06-05,10293.43,10365.24,10040.87,10103.26,355517854
2016-06-12,10105.09,10312.53,9819.12,9834.62,426926474
2016-06-19,9715.78,9755.23,9432.87,9631.36,547890503
2016-06-26,9850.59,10340.84,9226.15,9557.16,693281397
2016-07-03,9516.92,9806.47,9214.1,9776.12,701127001
2016-07-10,9797.66,9808.99,9304.01,9629.66,500855446
2016-07-17,9744.8,10109.86,9690.18,10066.9,469162910
2016-07-24,10079.03,10195.65,9923.64,10147.46,379617407
2016-07-31,10155.2,10381.9,10125.22,10337.5,413819407
2016-08-07,10426.36,10459.34,10092.53,10367.21,448261692
2016-08-14,10407.5,10742.84,10403.47,10713.43,383601572
2016-08-21,10719.14,10802.32,10490.96,10544.36,306181092
2016-08-28,10528.88,10656.25,10443.48,10587.77,285726912
2016-09-04,10503.88,10693.64,10441.81,10683.82,375253328
2016-09-11,10712.17,10780.42,10539.31,10573.44,400783989
2016-09-18,10380.46,10507.04,10262.19,10276.17,608789212
2016-09-25,10349.87,10705.4,10326.75,10626.97,394826405
2016-10-02,10555.19,10575.34,10189.94,10511.02,596718475
2016-10-09,10492.97,10646.72,10465.35,10490.86,462190879
2016-10-16,10496.01,10692.36,10349.06,10580.38,490080230
